Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Vertical Acceleration,Desired Position [mm],Motor Encoder (cts),Motor Current,inSwing
0.013274192810058594,7.32,12.84,236.73399999999998,-0.5712890625,0.0,-2.319981408691406,0,92085,-0.01197447633070244,False
0.025414466857910156,7.32,12.84,236.73399999999998,-0.5712890625,0.03662109375,-3.754108203125,0,92085,-0.0001140622695103427,False
0.03644156455993652,7.32,12.84,236.73399999999998,-0.4833984375,0.03662109375,-4.745307690429687,0,92085,-0.006045355794493834,False
0.047478437423706055,7.32,12.84,236.73399999999998,-0.32958984375,0.06591796875,-4.168989147949218,0,92085,-0.027029215289948103,False
0.05848860740661621,7.32,12.84,236.73399999999998,-0.3076171875,0.08056640625,-4.878485157775879,0,92084,-0.03772102573149738,False
0.0694587230682373,7.32,12.84,236.73399999999998,-0.2197265625,0.087890625,-4.353722707790799,0,92084,-0.04316877525263701,False
0.07994604110717773,7.32,12.84,236.73399999999998,-0.10986328125,0.087890625,-4.860229370117187,0,92084,-0.033970065945426293,False
0.08693766593933105,7.32,12.84,236.73399999999998,-0.0439453125,0.0732421875,-4.404678090598366,0,92084,-0.02928308945090117,False
0.09422922134399414,7.32,12.84,236.73399999999998,-0.02197265625,0.087890625,-4.833294601440429,0,92084,-0.03288219381110965,False
0.10233879089355469,7.32,12.84,236.73399999999998,0.02197265625,0.06591796875,-4.434061474609375,0,92083,-0.04669050540872468,False
0.10975337028503418,7.32,12.84,236.73399999999998,0.10986328125,0.0439453125,-4.804649688720703,0,92082,-0.041751715251556167,False
0.11695671081542969,7.32,12.84,236.73399999999998,0.087890625,0.05126953125,-4.465664936523437,0,92080,-0.04522251414211745,False
0.12465763092041016,7.32,12.84,236.73399999999998,0.15380859375,0.03662109375,-4.7852609306335445,0,92080,-0.029029260010881783,False
0.1319563388824463,7.32,12.84,236.73399999999998,0.1318359375,0.0439453125,-4.502507475011488,0,92079,0.009157805905869688,False
0.1389477252960205,7.32,12.84,236.73399999999998,0.19775390625,0.00732421875,-4.7930587124294695,0,92079,0.016640611501273432,False
0.14596867561340332,7.32,12.84,236.73399999999998,0.1318359375,0.03662109375,-4.568640810032894,0,92079,0.008478815055048512,False
0.15286970138549805,7.32,12.84,236.73399999999998,0.10986328125,-0.00732421875,-4.8246754754638665,0,92077,-0.019628780609301157,False
0.15988826751708984,7.32,12.84,236.73399999999998,0.17578125,-0.00732421875,-4.60211162923177,0,92076,-0.02796307775903536,False
0.1668226718902588,7.32,12.84,236.73399999999998,0.0439453125,-0.00732421875,-4.834872597989168,0,92074,-0.008260661599068943,False
0.1737682819366455,7.32,12.84,236.73399999999998,0.0439453125,-0.029296875,-4.6284081919794495,0,92072,0.019739935347017908,False
0.18096375465393066,7.32,12.84,236.73399999999998,0.02197265625,-0.02197265625,-4.838083004760741,0,92071,0.016045237596031492,False
0.1885061264038086,7.32,12.84,236.73399999999998,-0.06591796875,-0.05126953125,-4.646091973632812,0,92069,-0.009786257597690803,False
0.19605302810668945,7.32,12.84,236.73399999999998,-0.087890625,-0.03662109375,-4.845956244835486,0,92066,0.012975367194721983,False
0.20356106758117676,7.32,12.84,236.73399999999998,-0.087890625,-0.0439453125,-4.671087438964843,0,92065,0.018585756132948425,False
0.21105098724365234,7.32,12.84,236.73399999999998,-0.1318359375,-0.03662109375,-4.8488569122314455,0,92063,0.009469915747834387,False
0.21858549118041992,7.32,12.84,236.73399999999998,-0.15380859375,-0.02197265625,-4.680251452215787,0,92062,0.010812401243440909,False
0.22608375549316406,7.32,12.84,236.73399999999998,-0.15380859375,-0.02197265625,-4.845943966878255,0,92060,-0.006465282727024089,False
0.23360562324523926,7.32,12.84,236.73399999999998,-0.19775390625,-0.02197265625,-4.686533901288432,0,92057,0.0026930120777557028,False
0.2411184310913086,7.32,12.84,236.73399999999998,-0.17578125,-0.02197265625,-4.835613984298705,0,92054,0.03729558718151972,False
0.24861955642700195,7.32,12.84,236.73399999999998,-0.263671875,-0.00732421875,-4.685597752056699,0,92052,0.03696476531887616,False
0.2562727928161621,7.32,12.84,236.73399999999998,-0.19775390625,-0.03662109375,-4.828400571576287,0,92051,0.0008727741685027948,False
0.26378297805786133,7.32,12.84,236.73399999999998,-0.24169921875,0.0,-4.685589460449218,0,92051,-0.017517013845540146,False
0.27127599716186523,7.32,12.84,236.73399999999998,-0.263671875,-0.02197265625,-4.815404594590928,0,92050,-0.0029381261880977597,False
0.2788970470428467,7.32,12.84,236.73399999999998,-0.24169921875,0.0,-4.667787323163006,0,92050,0.004490188098689356,False
0.2867128849029541,7.32,12.84,236.73399999999998,-0.19775390625,-0.0146484375,-4.789033373380962,0,92050,-0.01567384938675443,False
0.294478178024292,7.32,12.84,236.73399999999998,-0.10986328125,0.0146484375,-4.654143857985277,0,92050,-0.0558841304769038,False
0.30231618881225586,7.32,12.84,236.73399999999998,-0.1318359375,0.05126953125,-4.770147532653809,0,92050,-0.07038505385830826,False
0.3101012706756592,7.32,12.84,236.73399999999998,-0.087890625,0.03662109375,-4.652400986983136,0,92050,-0.06579916703160021,False
