Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Vertical Acceleration,Desired Position [mm],Motor Encoder (cts),Motor Current,inSwing
0.011789083480834961,-0.0,-0.0,180.52,2.5927734375,0.0,-2.43250888671875,0,-3,0,False
0.020035505294799805,-0.0,-0.0,180.52,2.63671875,-0.1318359375,-3.902548706054687,0,-3,0,False
0.028176307678222656,-0.0,-0.0,180.52,2.57080078125,-0.1171875,-4.8809791178385415,0,-3,0,False
0.03629589080810547,-0.0,-0.0,180.52,2.61474609375,-0.13916015625,-4.1840384155273425,0,-3,0,False
0.044412851333618164,-0.0,-0.0,180.52,2.6806640625,0.00732421875,-4.879382983398437,0,-3,0,False
0.05260729789733887,-0.0,-0.0,180.52,2.5927734375,0.0146484375,-4.332174892849392,0,-3,0,False
0.06068110466003418,-0.0,-0.0,180.52,2.61474609375,0.00732421875,-4.89015689086914,0,-3,0,False
0.06876969337463379,-0.0,-0.0,180.52,2.57080078125,0.0,-4.43558505748402,0,-3,0,False
0.07691717147827148,-0.0,-0.0,180.52,2.61474609375,-0.03662109375,-4.883373319498698,0,-3,0,False
0.08498692512512207,-0.0,-0.0,180.52,2.5927734375,0.00732421875,-4.518595210148738,0,-3,0,False
0.09314298629760742,-0.0,-0.0,180.52,2.57080078125,-0.00732421875,-4.8988786254882815,0,-3,0,False
0.10126161575317383,-0.0,-0.0,180.52,2.5927734375,0.0,-4.58122506998698,0,-3,0,False
0.10917139053344727,-0.0,-0.0,180.52,2.5927734375,-0.00732421875,-4.913649994659424,0,-3,0,False
0.11580896377563477,-0.0,-0.0,180.52,2.57080078125,0.0,-4.635737755629596,0,-3,0,False
0.12249088287353516,-0.0,-0.0,180.52,2.548828125,0.0,-4.924340770128038,0,-3,0,False
0.12912893295288086,-0.0,-0.0,180.52,2.5048828125,-0.0146484375,-4.6702053646689965,0,-3,0,False
0.13577532768249512,-0.0,-0.0,180.52,2.5048828125,-0.029296875,-4.938280344238281,0,-3,0,False
0.14242768287658691,-0.0,-0.0,180.52,2.4609375,-0.02197265625,-4.710762780761719,0,-3,0,False
0.14905285835266113,-0.0,-0.0,180.52,2.43896484375,-0.029296875,-4.95077372381037,0,-3,0,False
0.15634799003601074,-0.0,-0.0,180.52,2.35107421875,-0.02197265625,-4.748846945057744,0,-3,0,False
0.1629788875579834,-0.0,-0.0,180.52,2.373046875,-0.05126953125,-4.971160713704427,0,-3,0,False
0.16978025436401367,-0.0,-0.0,180.52,2.26318359375,-0.029296875,-4.781220715332031,0,-3,0,False
0.17647266387939453,-0.0,-0.0,180.52,2.21923828125,-0.05859375,-4.988319158935547,0,-3,0,False
0.18315839767456055,-0.0,-0.0,180.52,2.197265625,-0.0439453125,-4.812256662778501,0,-3,0,False
0.18976688385009766,-0.0,-0.0,180.52,2.08740234375,-0.05859375,-4.997553936767578,0,-3,0,False
0.19647598266601562,-0.0,-0.0,180.52,1.99951171875,-0.05859375,-4.830012893992457,0,-3,0,False
0.203094482421875,-0.0,-0.0,180.52,1.93359375,-0.0732421875,-5.0045997302246095,0,-3,0,False
0.20978736877441406,-0.0,-0.0,180.52,1.8896484375,-0.087890625,-4.845169069351689,0,-3,0,False
0.21654415130615234,-0.0,-0.0,180.52,1.7578125,-0.06591796875,-5.008220960235596,0,-3,0,False
0.22317075729370117,-0.0,-0.0,180.52,0.3076171875,-0.08056640625,-4.857399859064275,0,-3,0,False
0.22977662086486816,-0.0,-0.0,180.52,1.56005859375,-0.5419921875,-5.006627759866153,0,-3,0,False
0.23650145530700684,-0.0,-0.0,180.52,1.4501953125,-0.10986328125,-4.870900668945312,0,-3,0,False
0.2431175708770752,-0.0,-0.0,180.52,1.42822265625,-0.1025390625,-5.031148766411675,0,-3,0,False
0.24975085258483887,-0.0,-0.0,180.52,1.29638671875,0.37353515625,-4.889930412333721,0,-3,0,False
0.256439208984375,-0.0,-0.0,180.52,1.25244140625,-0.087890625,-5.037967340730366,0,-3,0,False
0.2630760669708252,-0.0,-0.0,180.52,1.20849609375,-0.06591796875,-4.924320306865986,0,-3,0,False
0.2696819305419922,-0.0,-0.0,180.52,1.23046875,-0.0732421875,-5.061940859985351,0,-3,0,False
0.27639317512512207,-0.0,-0.0,180.52,1.23046875,-0.02197265625,-4.961661767280392,0,-3,0,False
0.28301095962524414,-0.0,-0.0,180.52,1.1865234375,-0.00732421875,-5.112418611653646,0,-3,0,False
0.2896382808685303,-0.0,-0.0,180.52,1.12060546875,-0.00732421875,-5.02593039664335,0,-3,0,False
0.29631972312927246,-0.0,-0.0,180.52,1.16455078125,-0.03662109375,-5.179202327658913,0,-3,0,False
0.30295538902282715,-0.0,-0.0,180.52,1.0546875,-0.02197265625,-5.116036516384548,0,-3,0,False
0.3096480369567871,-0.0,-0.0,180.52,0.98876953125,-0.0439453125,-5.277445033330502,0,-3,0,False
0.316333532333374,-0.0,-0.0,180.52,0.966796875,-0.0439453125,-5.215742846419962,0,-3,0,False
0.32298779487609863,-0.0,-0.0,180.52,0.85693359375,-0.06591796875,-5.3576247650146485,0,-3,0,False
0.32962465286254883,-0.0,-0.0,180.52,0.703125,-0.06591796875,-5.271299136788505,0,-3,0,False
0.336315393447876,-0.0,-0.0,180.52,0.63720703125,-0.09521484375,-5.388246604248048,0,-3,0,False
0.3429539203643799,-0.0,-0.0,180.52,0.46142578125,-0.10986328125,-5.300950256108303,0,-3,0,False
0.3495805263519287,-0.0,-0.0,180.52,-1.142578125,-0.1318359375,-5.417479806518555,0,-3,0,False
