Time,Slider Position (mm),Slider Position (%),Stiffness (Nm/rad),Joint Angle (deg),Joint Angle Velocity (deg/s),Pitch VelocityDesired Position [mm],Motor Encoder (cts),Motor Current,inSwing
5.6275475025177,0.01,0.02,180.5857,-0.0439453125,0.0,-1.1170483460559797,51.12498012402608,148,-0.01197447633070244,False
5.637979984283447,0.25,0.46,182.16250000000002,-0.06591796875,-0.00732421875,-2.1653944020356235,51.12498012402608,3508,-0.5449527353164715,False
5.648248910903931,0.73,1.32,185.2216,-0.02197265625,-0.0146484375,-3.2137404580152675,51.12498012402608,9707,-0.882378342115817,False
5.658470153808594,1.3,2.32,189.061,-0.10986328125,0.0,-3.188295165394402,51.12498012402608,16821,-0.5873006991937887,False
5.668705940246582,1.87,3.33,193.1104,0.0,-0.02197265625,-3.1348600508905853,51.12498012402608,24044,-0.880006754784176,False
5.677103757858276,2.36,4.17,196.50119999999998,-0.0439453125,0.02197265625,-3.16793893129771,51.12498012402608,30029,-0.7058370783996435,False
5.685238599777222,2.82,4.99,199.9796,0.02197265625,-0.00732421875,-3.063613231552163,51.12498012402608,35875,-0.00040766472033966494,False
5.693364381790161,3.28,5.81,203.3284,0.0,0.0439453125,-3.0839694656488548,51.12498012402608,41693,0.4069244796940089,False
5.701478481292725,3.75,6.62,207.0125,-0.02197265625,0.0,-2.9923664122137406,51.12498012402608,47521,0.027721233465839934,False
5.709620952606201,4.21,7.44,210.52229999999997,0.02197265625,0.00732421875,-3.040712468193384,51.12498012402608,53369,-0.9079100035218659,False
5.717745065689087,4.68,8.26,214.3532,-0.0439453125,0.0,-3.1145038167938934,51.12498012402608,59207,-0.8697354478888505,False
5.725870370864868,5.14,9.08,218.02859999999998,-0.02197265625,-0.0146484375,-3.1653944020356235,51.12498012402608,65074,-9.672079081479712e-05,False
5.733981609344482,5.6,9.89,221.914,0.0,0.0,-3.1933842239185757,51.12498012402608,70886,-0.11979404501143975,False
5.742108583450317,6.07,10.71,225.8338,0.02197265625,-0.00732421875,-3.190839694656489,51.12498012402608,76701,-0.8812897432843269,False
5.75020694732666,6.53,11.52,229.861,-0.0439453125,0.02197265625,-3.2290076335877864,51.12498012402608,82547,-0.2694224076212399,False
5.758305549621582,6.99,12.34,233.863,-0.06591796875,-0.00732421875,-3.262086513994911,51.12498012402608,88369,-0.15523928784313723,False
5.766466856002808,7.46,13.16,237.95199999999997,-0.02197265625,-0.02197265625,-3.26972010178117,51.12498012402608,94257,-0.9891585690508551,False
5.774229049682617,7.91,13.95,242.1855,0.0439453125,-0.0146484375,-3.2366412213740454,51.12498012402608,99837,-1.3781382366581814,False
5.7815985679626465,8.33,14.69,245.9865,-0.02197265625,0.029296875,-3.2061068702290076,51.12498012402608,105109,-1.4326395606715685,False
5.788989067077637,8.75,15.43,250.0575,-0.0439453125,0.0146484375,-3.193384223918575,51.12498012402608,110405,-0.7539152687760869,False
5.796330451965332,9.17,16.17,254.0097,-0.0439453125,-0.00732421875,-3.1959287531806617,51.12498012402608,115685,-0.018917488117424525,False
5.803754806518555,9.59,16.91,258.1684,0.02197265625,-0.029296875,-3.2137404580152675,51.12498012402608,121008,-0.5305286620218924,False
5.811108112335205,10.01,17.65,262.2676,-0.02197265625,0.0146484375,-3.1908396946564888,51.12498012402608,126288,-0.9349012913403681,False
5.818458795547485,10.43,18.39,266.3668,-0.0439453125,0.00732421875,-3.193384223918575,51.12498012402608,131583,-0.14705790160880605,False
5.825803995132446,10.85,19.12,270.76349999999996,0.0,0.0,-3.1424936386768447,51.12498012402608,136826,0.8710538867065584,False
